Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Häst kött hamburgerkött rökt,1989,998,Equus caballus,Konserverat kött (A0797),Häst (B1229),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Kyld (J0131); Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Nöt saltkött rimmat kokt,1997 Nötkött,999,Bos taurus,Konserverat kött (A0797),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Kokt (G0014),Lagrad (H0253); Saltad (H0173),Okänd konserveringsmetod (J0001),Förpackad i saltlag / rimmad (K0018),Okänd förpackning (M0001),Kött förpackning (N0020),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Nöt kött rökt,1997 Nötkött,1000,Bos taurus,Konserverat kött (A0797),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Kött förpackning (N0020),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Ren kött varmrökt rå,2011 Viltkött och hägnat kött,1001,Rangifer tarandus ssp. tarandus,Konserverat kött (A0797),Ren (B1619),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Ren kött torkat,1989,1002,Rangifer tarandus ssp. tarandus,Konserverat kött (A0797),Ren (B1619),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Vatten borttaget (H0138),Torkad (J0116),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Gris bacon,1997 Griskött,1003,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Kyld (J0131); Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Kött förpackning (N0020),Människoföda (P0026),Sverige (R0376),Bacon (Z0063)
Fläskbog gris konserv gelé 6-8%,1989,1005,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Gelatin tillfört (H0165); Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Bog (Z0020)
Gris kassler kotlettrad rökt,1997 Griskött,1006,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Kyld (J0131); Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Kött förpackning (N0020),Människoföda (P0026),Sverige (R0376),"Styckningsdetalj, annan (Z0048)"
Skinka gris konserv gelé 8-11%,1989,1007,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Gelatin tillfört (H0165); Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Gris skinka italiensk lufttorkad,2005 Riksmaten2,1008,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Vatten borttaget (H0138),Torkad (J0116),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Italien (R0263),
Gris skinka fett 6% rökt,1989,1009,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Skinka (Z0024)
Gris skinka fett 3% skivad rökt,2015 Kött och chark,1010,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Salt tillfört (H0367); Vatten borttaget (H0138),Varmrökt (J0106),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213)",Plast (N0036),Människoföda (P0026),Sverige (R0376),
Gris sidfläsk rökt,1989,1011,Sus scrofa,Konserverat kött (A0797); Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172); Vatten borttaget (H0138),Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Sida (Z0022)
Corned beef konserv,1997 Nötkött,1012,Bos taurus,Konserverat kött (A0797),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Nöt flankstek rå,1997 Nötkött,1013,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Kött förpackning (N0020),Människoföda (P0026),Sverige (R0376),Stek (Z0027)
Nöt biff ryggbiff stekt,2014 2015 NKMT beräknade livsmedel,1014,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
"Gris skinka julskinka fett ca 4,5% rimmad kokt",1989,1015,Sus scrofa,Konserverat kött (A0797),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Kokt (G0014),Lagrad (H0253); Saltad (H0173),Okänd konserveringsmetod (J0001),Förpackad i saltlag / rimmad (K0018),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Skinka (Z0024)
Gris kassler kotlettrad rökt stekt el värmd,2014 2015 NKMT beräknade livsmedel,1016,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Hel och i delar (E0104),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt entrecôte stekt,2014 2015 NKMT beräknade livsmedel,1017,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris bog stekt,2014 2015 NKMT beräknade livsmedel,1018,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläskkött kokt,2014 2015 NKMT beräknade livsmedel,1019,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Delad i halvor, bitar (E0133)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris sidfläsk rimmat stekt,2014 2015 NKMT beräknade livsmedel,1020,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn med separerbart fett (C0269)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),,Sverige (R0376),
Gris fläsk ben m kött kokt,2014 2015 NKMT beräknade livsmedel,1022,Sus scrofa,Kött (A0794),Gris (B1136),"skelett kött del, med ben och utan skinn (C0266)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläsk filé skivor stekt,2014 2015 NKMT beräknade livsmedel,1023,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläsk karré skivor stekt,2014 2015 NKMT beräknade livsmedel,1024,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläsk kotlett stekt,2014 2015 NKMT beräknade livsmedel,1025,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläsk lägg u svål kokt,2014 2015 NKMT beräknade livsmedel,1027,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläsk kött grillat,2014 2015 NKMT beräknade livsmedel,1028,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Ugn eller grill,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rullsylta,2014 2015 NKMT beräknade livsmedel,1029,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fötter kokta,2014 2015 NKMT beräknade livsmedel,1030,Sus scrofa,Kött (A0794),Gris (B1136),"skelett kött del, med ben och med skinn (C0265)",Hel och i delar (E0104),Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Hare stek stekt,2014 2015 NKMT beräknade livsmedel,1031,Lepus spp. L.,Kött (A0794),Hare (B2695),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalv filé stekt,2014 2015 NKMT beräknade livsmedel,1032,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalv kotlett stekt,2014 2015 NKMT beräknade livsmedel,1033,Bos taurus,Kött (A0794),Kalv (B1349),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalv kött kokt,2014 2015 NKMT beräknade livsmedel,1034,Bos taurus,Kött (A0794),Kalv (B1349),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i bitar (E0152),Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalv stek stekt,2014 2015 NKMT beräknade livsmedel,1035,Bos taurus,Kött (A0794),Kalv (B1349),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Lamm kotlett stekt,2014 2015 NKMT beräknade livsmedel,1036,Ovis aries,Kött (A0794),Lamm (B1669),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Lamm stek stekt,2014 2015 NKMT beräknade livsmedel,1037,Ovis aries,Kött (A0794),Lamm (B1669),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt högrev kokt,2014 2015 NKMT beräknade livsmedel,1038,Bos taurus,Kött (A0794),Nötkreatur (B1161),"skelett kött del, med ben och utan skinn (C0266)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt stek el grytstek kokt,2014 2015 NKMT beräknade livsmedel,1039,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt oxbringa rimmad kokt,2014 2015 NKMT beräknade livsmedel,1042,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Oxrulad nöt stekt,2014 2015 NKMT beräknade livsmedel,1043,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt rostbiff ugnsstekt,2014 2015 NKMT beräknade livsmedel,1044,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Ugn eller grill,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris revbensspjäll ugnsstekt grillat,2014 2015 NKMT beräknade livsmedel,1045,Sus scrofa,Kött (A0794),Gris (B1136),"skelett kött del, med ben och utan skinn (C0266)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rådjur kött ugnsstekt,2014 2015 NKMT beräknade livsmedel,1047,Capreolus capreolus L.,Kött (A0794),Rådjur (B3366),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Ugn eller grill,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ren kött kokt,2014 2015 NKMT beräknade livsmedel,1048,Rangifer tarandus ssp. tarandus,Kött (A0794),Ren (B1619),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ren kött ugnsstekt,2014 2015 NKMT beräknade livsmedel,1049,Rangifer tarandus ssp. tarandus,Kött (A0794),Ren (B1619),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Ugn eller grill,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Älg stek ugnsstekt el grillad,2014 2015 NKMT beräknade livsmedel,1050,Alces alces L.,Kött (A0794),Älg (B1257),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Ugn eller grill,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläsk karré stekt u steksky,1989,1055,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Stekt (G0028),Industriell process inte känd (H0001),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),"Styckningsdetalj, annan (Z0048)"
Gris skinkstek stekt u steksky fryst,1989,1056,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Stekt (G0028),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Stek (Z0027)
Nöt stek fryst stekt u steksky,1989,1057,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Stekt (G0028),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Stek (Z0027)
Nöt rostbiff tillagad u salt ugnsrostad,1989,1058,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Ej salt (P0078); Människoföda (P0026),Sverige (R0376),"Styckningsdetalj, annan (Z0048)"
Dillkött m nötkött m purjolök morötter o sås hemlagad,1984 Analyserade standardrätter,1060,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Brynt (G0027),Grönsak tillförd (H0212); Saltad (H0173); Spannmål tillförd (H0152); Vatten tillfört (H0148),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Kalops nötkött lök morötter sås hemlagad,1984 Analyserade standardrätter,1061,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Brynt (G0027),Grönsak tillförd (H0212); Saltad (H0173); Spannmål tillförd (H0152); Vatten tillfört (H0148),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Biff Stroganoff nötkött,2014 2015 NKMT beräknade livsmedel,1062,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rimmat sidfläsk el stekfläsk gris m löksås,2014 2015 NKMT beräknade livsmedel,1063,Sus scrofa,Kött (A0794); Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rimmat sidfläsk gris panerat stekt,2014 2015 NKMT beräknade livsmedel,1064,Sus scrofa,Kött (A0794); Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gris fläskkotlett panerad stekt,2014 2015 NKMT beräknade livsmedel,1065,Sus scrofa,Kött (A0794),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Wienerschnitzel gris,2014 2015 NKMT beräknade livsmedel,1066,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gulasch nötkött,2014 2015 NKMT beräknade livsmedel,1068,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalvläggsgryta typ Osso buco,2014 2015 NKMT beräknade livsmedel,1072,Bos taurus,Kötträtt (A0799),Kalv (B1349),"skelett kött del, med ben och utan skinn (C0266)",Skivad (E0137),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttsoppa nötkött,2014 2015 NKMT beräknade livsmedel,1073,Bos taurus,Kötträtt (A0799),Ko (B1201),"Skelett kött del, utan ben och utan skinn (C0268)","Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
