Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Makrillfilé konserv i tomatsås,1296,186.3,779.3,3.9,13.9,11.69,0,68.3,0,2.2,3,0.2,0.2,0,0,2.59,0,0.01,0.72,1.43,0.26,0.03,5.64,0.43,2.1,4,0.54,0.36,0.16,0.69,0.17,1.26,39.7,22.5,35.9,161,1.36,2.29,5.1,0.05,0.2,0,5.85,8,0.29,5.38,19,141,36,0.83,24,423,32,368,0.92,19.9,0.93,0,"2010 Fisk, fiskprodukter och skaldjur",Scomber scombrus,Fisk- och skaldjursprodukt (A0803),Makrill (B1790),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212),Steriliserad/hermetiserad (J0123),Förpackad i grönsakslag (K0016),Burk (M0215),Metall (N0041),Människoföda (P0026),Nordöstra Atlanten FAO 27 (R0135),,,Makrill i tomatsås,"makrill i tomatsås, makrill tomatsås, makrillfilé i tomatsås, makrillfilé tomatsås"
Surströmming,1297,82.1,343.7,0,3.89,11.75,0,75.9,0,9.6,0,0,0,0,0,0.65,0,0,0.09,0.48,0.04,0,1.12,0.31,0.69,0.87,0.15,0.05,0.05,0.14,0.03,0.24,82.2,6,6,0,5.9,4.19,1.6,0,0.16,0,1.33,3.5,0.06,4.49,19,159,17,0.67,89,159,11,3523,8.81,10.8,1.81,42,"2010 Fisk, fiskprodukter och skaldjur",Clupea harengus,Fisk- och skaldjursprodukt (A0803),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Lagrad (H0253); Saltad (H0173); Syrad (H0200),Konserverad genom fermentering (J0104); Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215),Metall (N0041),Människoföda (P0026),Sverige (R0376),,,Surströmming,surströmming
Lutfisk kokt,1298,28.3,118.5,0,0.5,5.88,0,93,0,0.6,0,0,0,0,0,0.09,0,0,0,0.06,0.02,0,0.07,0.01,0.05,0.16,0,0,0.01,0.02,0.01,0.11,25.9,0,0,0,0.12,0.09,0,0,0,0,0,1.1,0,0,0,24,2,0.18,129,4,12,30,0.08,12.3,0.16,20,"2010 Fisk, fiskprodukter och skaldjur",Molva molva,Fisk (A0802),Långa (B2144),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i bitar (E0152),Fullständigt upphettad (F0014),kokt och avrunnen (G0015),Alkalisera (H0206),Konserverad genom att tillföra kemikalie (J0100),Förpackat i ätlig lag (K0011),Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),,,,
Ål inkokt hemlagad,1302,382.5,1600.6,0,36,15.8,0,47.2,0,1,0,0,0,0,NULL,8.61,0,0,0.94,6.01,1.39,0,15.7,3.14,11.98,8.1,0.71,0.3,0.81,1.49,1.23,2.13,140,3400,3400,0,40,19.3,NULL,0.05,0.2,0,1.7,4.6,0.21,5.6,18,110,NULL,0.7,36,119,10,186,0.47,63,3.2,13,1984 Analyserade standardrätter,Anguilla anguilla,Fisk- och skaldjursrätt (A0804),Ål (B2706),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Kokt (G0014),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109),,,
Ål ugnsstekt hemlagad,1303,436.1,1824.8,3,40.5,16.1,0,38,0,2.2,0,0,0,0,NULL,10.12,0.05,0.15,1.07,6.71,1.83,0.03,17.74,3.26,13.78,8.79,1.2,0.4,0.82,1.51,1.25,2.17,140,3500,3500,0,35,38,NULL,0.15,0.34,0,2.7,5.65,0.21,5.6,17,181,NULL,1.1,44,220,15,490,1.23,60,3.6,13,1984 Analyserade standardrätter,Anguilla anguilla,Fisk- och skaldjursrätt (A0804),Ål (B2706),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Margarin tillfört (H0272); Saltad (H0173); Spannmål tillförd (H0152); Ägg tillförd (H0186),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109),,,
Abborre kokt,1304,109.3,457,0,0.78,25.2,0,71.98,0,2.06,0,0,0,0,NULL,0.13,0,0,0.01,0.1,0.03,0,0.11,0.04,0.06,0.29,0.01,0.01,0.04,0.04,0.01,0.15,98.96,19.6,19.6,0,21.78,0.94,NULL,0.14,0.1,0,6.68,11.32,0.41,2.88,12.5,279.1,49.8,0.31,21.4,371.3,34.2,355.9,0.89,56.09,0.66,76.3,2014 2015 NKMT beräknade livsmedel,Perca fluviatilis,Fisk (A0802),Abborre (B1557),"Skelett kött del, utan ben och utan skinn, utan separerbart fett (C0270)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Abborre filé panerad stekt,1305,176.4,737.9,6.03,7.76,20.36,0.3,63.21,0,2.31,0.1,0.14,0.02,1,NULL,0.97,0.01,0,0.03,0.64,0.22,0.03,4.05,0.07,3.88,2.07,1.35,0.5,0.04,0.03,0.01,0.12,101.55,51.6,52.7,12,17.35,2.74,NULL,0.14,0.13,0.1,5.15,8.96,0.37,1.91,17,233.8,NULL,0.5,23.6,336.1,29.7,545,1.36,43.29,0.69,NULL,2014 2015 NKMT beräknade livsmedel,Perca fluviatilis,Fisk- och skaldjursrätt (A0804),Abborre (B1557),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Fisk friterad,1306,205.1,858,11.24,10.89,14.78,0.38,60.35,0,1.98,0.1,0.21,0.03,0,NULL,1.58,0,0,0.16,1.04,0.27,0.03,3.38,0.2,2.72,4.97,3.83,0.11,0.08,0.27,0.13,0.41,32.13,9.8,9.8,0,3.3,3.21,NULL,0.11,0.09,1.3,3.81,6.52,0.15,1.09,7.4,166.9,NULL,0.35,14,247.1,23.5,479.3,1.2,20.04,0.48,NULL,2014 2015 NKMT beräknade livsmedel,Perca fluviatilis,Fisk- och skaldjursrätt (A0804),"Fisk, benig (B1365)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Regnbågslax inkokt,1308,193.1,807.7,0,11.55,22.38,0,63.7,0,2.37,0,0,0,0,NULL,2.66,0,0,0.35,1.79,0.4,0,3.39,0.7,2.11,4.35,0.49,0.18,0.08,0.72,0.19,2.12,66.16,36.1,36.1,0,13.09,2.29,NULL,0.07,0.17,0,10.1,14.21,0.58,3.91,26.6,295.4,NULL,0.49,84.4,379.2,30.4,433.1,1.08,31.28,0.48,45.7,2014 2015 NKMT beräknade livsmedel,Oncorhynchus mykiss,Fisk- och skaldjursrätt (A0804),Regnbågslax (B1109),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Regnbågslax panerad stekt,1309,214.8,898.6,5.63,13.41,17.94,0.28,60.38,0,2.33,0.09,0.13,0.02,1,NULL,2.36,0.01,0,0.22,1.56,0.42,0.03,5.67,0.44,4.79,4.26,1.53,0.56,0.06,0.42,0.11,1.24,65.29,60.9,61.9,12,10.41,3.57,NULL,0.08,0.19,0.1,7.55,10.89,0.5,2.51,25.9,240.8,NULL,0.6,68.3,336.6,26.2,525.3,1.31,24.62,0.54,NULL,2014 2015 NKMT beräknade livsmedel,Oncorhynchus mykiss,Fisk- och skaldjursrätt (A0804),Regnbågslax (B1109),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Gädda kokt,1310,107.1,448.3,0,0.29,25.73,0,71.61,0,2.35,0,0,0,0,NULL,0.05,0,0,0,0.04,0.01,0,0.03,0.01,0.03,0.13,0,0,0.01,0.01,0,0.08,59.34,0,0,0,5.4,0.64,NULL,0.05,0.04,0,3.84,8.51,0.26,1.46,10.8,304.2,54.9,0.26,61.4,441.4,37.2,368.8,0.92,25.03,0.99,59.7,2014 2015 NKMT beräknade livsmedel,Esox lucius,Fisk- och skaldjursrätt (A0804),Gädda (B1143),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Värmebehandlad (F0022),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Gädda panerad stekt,1311,174.8,731.3,6.03,7.4,20.75,0.3,62.94,0,2.53,0.1,0.14,0.02,1,NULL,0.91,0.01,0,0.02,0.59,0.21,0.03,3.99,0.05,3.84,1.95,1.34,0.49,0.02,0.01,0,0.06,72.45,37.2,38.3,12,4.57,2.52,NULL,0.07,0.08,0.1,3.07,6.9,0.25,1.03,15.8,252.3,NULL,0.46,52.9,394.6,31.9,554.5,1.39,20.49,0.93,NULL,2014 2015 NKMT beräknade livsmedel,Esox lucius,Fisk- och skaldjursrätt (A0804),Gädda (B1143),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Hälleflundra kokt,1312,169.3,708.2,0,10.44,18.93,0,68.71,0,1.98,0,0,0,0,NULL,1.64,0,0,0.31,1.05,0.23,0,6.12,1.15,2.61,1.36,0.07,0.02,0.12,0.42,0.1,0.53,61.07,16.5,16.5,0,9.18,3.11,NULL,0.03,0.05,0,3.54,6.96,0.24,0.57,3.6,221.6,48.5,0.18,7.1,358.8,25.3,392.6,0.99,73.28,0.44,24.4,2014 2015 NKMT beräknade livsmedel,Hippoglossus hippoglossus,Fisk- och skaldjursrätt (A0804),Hälleflundra (B1532),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Hälleflundra panerad stekt,1313,197.9,827.8,5.64,12.71,15.28,0.28,63.93,0,2.16,0.09,0.13,0.02,1,NULL,1.75,0.01,0,0.19,1.13,0.32,0.03,7.22,0.7,5.08,2.52,1.29,0.47,0.08,0.24,0.06,0.31,61.97,46.7,47.7,12,7.32,4.15,NULL,0.05,0.08,0.1,2.76,5.58,0.21,0.46,10.2,185.5,NULL,0.38,12.4,316.4,22.3,546.4,1.37,54.4,0.5,NULL,2014 2015 NKMT beräknade livsmedel,Hippoglossus hippoglossus,Fisk- och skaldjursrätt (A0804),Hälleflundra (B1532),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Kolja kokt,1314,102.3,427.9,0,0.77,23.51,0,73.4,0,2.33,0,0,0,0,NULL,0.13,0,0,0.01,0.09,0.01,0,0.06,0.01,0.05,0.33,0,0,0.01,0.09,0.01,0.2,76.65,3.8,3.8,0,0.72,0.5,NULL,0.04,0.06,0,3.83,8.14,0.16,1.08,10.9,281.6,NULL,0.65,47.2,292.4,30.9,393.4,0.98,25.55,0.38,66.4,2014 2015 NKMT beräknade livsmedel,Melanogrammus aeglefinus (L.),Fisk- och skaldjursrätt (A0804),Kolja (B1441),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Kolja panerad stekt,1315,171.4,717.1,6.05,7.77,19.09,0.3,64.24,0,2.51,0.1,0.14,0.02,1,NULL,0.97,0.01,0,0.03,0.63,0.21,0.03,4.03,0.05,3.88,2.11,1.34,0.49,0.02,0.07,0.01,0.16,85.14,40.2,41.2,12,0.91,2.42,NULL,0.06,0.1,0.1,3.06,6.61,0.16,0.79,15.8,235.3,NULL,0.74,42.4,270.1,27.2,572.9,1.43,20.83,0.48,NULL,2014 2015 NKMT beräknade livsmedel,Melanogrammus aeglefinus (L.),Fisk- och skaldjursrätt (A0804),Kolja (B1441),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Skandinavien (R0360),(),,,
Lax stekt,1316,177.5,742.6,0,10.67,20.46,0,66.53,0,2.34,0,0,0,0,NULL,2.27,0,0,0.31,1.53,0.32,0,4.42,0.89,3.23,2.92,0.36,0.16,0.1,0.44,0.22,1.18,62.26,33.4,33.4,0,11.81,1.45,NULL,0.2,0.1,0,6.67,10.42,0.87,3.79,23.1,222.7,72.8,0.89,23.1,312.1,26.9,287.5,0.72,28.91,0.45,38.9,2014 2015 NKMT beräknade livsmedel,oncorhynchus spp.,Fisk (A0802),Lax grupp (B2250),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Lax kokt,1317,270,1129.5,0,18.74,23.43,0,53.59,0,2.02,0,0,0,0,NULL,3.51,0,0,0.69,2.18,0.48,0.04,6.92,0.89,4.23,5.86,1.14,0.36,0.34,1.19,0.62,1.63,62.31,30.4,30.4,0,9.37,1.64,NULL,0.11,0.09,0,8.55,12.88,0.42,2.66,4,266.4,50.6,0.39,8.9,396.4,30.7,343.1,0.86,35.14,0.56,41,2014 2015 NKMT beräknade livsmedel,oncorhynchus spp.,Fisk- och skaldjursrätt (A0804),Lax grupp (B2250),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Makrill kokt,1318,343.4,1436.6,0,28.78,19.57,0,47.49,0,1.87,0,0,0,0,NULL,6.1,0,0,1.84,3.4,0.58,0.05,10.46,1,3.36,8.32,0.41,0.39,0.41,2.03,0.39,3.22,56.17,17.3,17.3,0,4.97,0.48,NULL,0.09,0.23,0,9.55,13.12,0.49,5.54,0,223.8,108.4,0.93,18.3,317,27.9,333.8,0.84,69.07,0.71,47.2,2014 2015 NKMT beräknade livsmedel,Scomber scombrus,Fisk (A0802),Makrill (B1790),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Makrill panerad stekt,1319,314.5,1315.7,5.69,24.4,16.72,0.28,48.93,0,2.18,0.09,0.13,0.02,1,NULL,4.56,0.01,0,1.14,2.61,0.54,0.06,10.15,0.65,5.67,6.85,1.51,0.7,0.26,1.24,0.24,1.98,61.61,48.3,49.4,12,4.38,2.31,NULL,0.1,0.26,0.1,7.54,10.65,0.45,3.7,7.8,198.4,NULL,0.96,21.4,300.5,25.6,523,1.31,54.83,0.74,NULL,2014 2015 NKMT beräknade livsmedel,Scomber scombrus,Fisk- och skaldjursrätt (A0804),Makrill (B1790),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Makrill stekt,1320,285.8,1195.6,0,22.49,19.12,0,54.44,0,1.69,0,0,0,0,NULL,4.77,0,0,1.44,2.65,0.45,0.04,8.18,0.78,2.63,6.51,0.32,0.31,0.32,1.58,0.31,2.52,43.91,16.9,16.9,0,5.16,0.47,NULL,0.09,0.28,0,9.34,12.82,0.55,4.58,0,218.6,99.5,0.9,17.7,351.1,27.2,275.1,0.69,67.48,0.7,46.1,2014 2015 NKMT beräknade livsmedel,Scomber scombrus,Fisk (A0802),Makrill (B1790),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Piggvar kokt,1321,106.1,444,0,2.18,21.38,0,74.11,0,2.33,0,0,0,0,NULL,0.46,0,0,0.05,0.32,0.04,0,0.52,0.12,0.22,1.06,0.12,0.05,0,0.26,0.06,0.09,64.01,17.9,17.9,0,2.09,1.02,NULL,0.02,0.13,0,3.84,7.76,0.2,0.83,12,204.1,NULL,0.65,23,278.6,57.9,462.1,1.16,32.01,0.26,65.3,2014 2015 NKMT beräknade livsmedel,Psetta maxima,Fisk (A0802),Piggvar (B1240),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Rödspättafilé kokt,1322,115.4,483,0,0.77,26.73,0,70.22,0,2.29,0,0,0,0,NULL,0.11,0,0,0.01,0.08,0.01,0,0.11,0.04,0.06,0.27,0,0,0.01,0.08,0.03,0.1,70.72,0,0,0,1.99,0.53,NULL,0.34,0.07,0,6.88,11.77,0.25,0.58,12.8,234.6,79.9,0.09,16.6,391.1,31,439,1.1,36.69,0.55,62,2014 2015 NKMT beräknade livsmedel,Pleuronectes platessa,Fisk (A0802),Rödspätta (B1861),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Rödspättafilé panerad stekt,1323,180.8,756.5,6.01,7.74,21.52,0.3,61.92,0,2.48,0.1,0.14,0.02,1,NULL,0.95,0.01,0,0.03,0.61,0.21,0.03,4.04,0.07,3.86,2.05,1.33,0.49,0.02,0.06,0.02,0.08,80.83,37.1,38.2,12,1.91,2.44,NULL,0.3,0.11,0.1,5.31,9.3,0.24,0.48,17.2,201.4,NULL,0.34,20,353.2,27.3,605.9,1.51,29.09,0.6,NULL,2014 2015 NKMT beräknade livsmedel,Pleuronectes platessa,Fisk- och skaldjursrätt (A0804),Rödspätta (B1861),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Rödspätta filé stekt,1324,110.2,461.2,0,0.74,25.53,0,71.7,0,2.05,0,0,0,0,NULL,0.11,0,0,0.01,0.07,0.01,0,0.11,0.04,0.06,0.25,0,0,0.01,0.07,0.02,0.1,67.53,0,0,0,2.02,0.51,NULL,0.35,0.09,0,6.57,11.23,0.28,0.47,11.5,223.9,69.4,0.09,15.7,423.3,29.6,364.3,0.91,35.03,0.52,59.2,2014 2015 NKMT beräknade livsmedel,Pleuronectes platessa,Fisk (A0802),Rödspätta (B1861),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Sik kokt,1325,114.6,479.2,0,0.81,26.43,0,70.37,0,2.42,0,0,0,0,NULL,0.14,0,0,0.01,0.11,0.01,0,0.15,0.05,0.09,0.25,0.01,0,0.01,0.05,0.01,0.14,59.87,0,0,0,8.1,0.56,NULL,0.09,0.05,0,7.87,12.66,0.45,2.65,11.5,314.5,53.4,0.3,16.8,460.6,36.3,365.5,0.91,31.52,0.51,50.6,2014 2015 NKMT beräknade livsmedel,Coregonus lavaretus,Fisk (A0802),"Fisk, benig (B1365)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Sik panerad stekt,1326,180.2,753.7,6.01,7.77,21.29,0.3,62.03,0,2.58,0.1,0.14,0.02,1,NULL,0.97,0.01,0,0.03,0.64,0.21,0.03,4.07,0.08,3.88,2.04,1.34,0.49,0.02,0.04,0.01,0.11,72.84,37.1,38.2,12,6.69,2.46,NULL,0.1,0.09,0.1,6.04,9.95,0.4,1.77,16.3,260.1,NULL,0.49,20.1,411.1,31.3,551.8,1.38,25.28,0.57,NULL,2014 2015 NKMT beräknade livsmedel,Coregonus lavaretus,Fisk- och skaldjursrätt (A0804),"Fisk, benig (B1365)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sill salt kokt,1327,249,1041.8,0,19.1,19.7,0,58.21,0,2.99,0,0,0,0,NULL,4.35,0,0,1.33,2.65,0.17,0,7.94,1.06,2.44,4.9,0.44,0.32,0.07,1.06,0.11,1.68,95.52,11.9,11.9,0,4.78,1.19,NULL,0.03,0.14,0,2.99,6.6,0.1,4.04,5.1,64.5,NULL,1.07,21.5,46.6,14.3,1146.3,2.87,26.27,0.84,0,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Sill panerad stekt,1328,202.1,845.6,5.78,12.57,16.3,0.7,59.51,0,3.96,0.05,0.13,0.04,5,NULL,2.06,0.01,0,0.47,1.2,0.2,0.04,6.07,0.29,3.87,3.37,1.32,0.58,0.07,0.31,0.06,0.68,42.2,22.1,23.1,12,4.78,2.15,NULL,0.02,0.18,0,4.83,7.78,0.24,4.47,11.8,279.7,NULL,0.84,57.9,289.5,41.5,1062,2.66,23.56,1.46,NULL,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),(),,,
